IKU@c numbers
1/8(iku@c)	F₃@c	𒖇	1/8(iku@c)
1/8(iku@c~a)	F₃@c@v	𒖈	1/8(iku@c@v)
1/4(iku@c)	F₄@c	𒖉	1/4(iku@c)
1/4(iku@c~a)	F₄@c@v	𒖊	1/4(aš@c) 1/4(iku@c@v)
1/2(iku@c)	DIŠ@c	𒕙	1/2(aš@c@90) 1(aš@c@90) 1(barig@c) 1(bariga@c) 1(diš@c) 1/2(iku@c)
1/2(iku@c~a)	F₈	𒖋	1/2(barig@c) 1/2(bariga@c) 1/2(iku@c@v)
1(iku@c)	AŠ@c	𒕐	1(aš@c) 1(iku@c)
2(iku@c)	2(AŠ@c)	𒕑	2(aš@c) 2(iku@c)
3(iku@c)	3(AŠ@c)	𒕒	3(aš@c) 3(iku@c)
4(iku@c)	4(AŠ@c)	𒕓	4(aš@c) 4(iku@c)
5(iku@c)	5(AŠ@c)	𒕔	5(aš@c) 5(iku@c)
6(iku@c)	6(AŠ@c)	𒕕	6(aš@c) 6(iku@c)
7(iku@c)	7(AŠ@c)	𒕖	7(aš@c) 7(iku@c)
